"q";"a";"reasoning"
"How many activities are present in the whole workflow?";"3";"total_activities: 3"
"What is the final status of the workflow?";"Completed";"status: Completed"
"What is the time to completion of the workflow?";"Unknown";"started_at/ended_at are ~"
"List all the parameters of the first activity of the workflow";"inputs: ai4privacy/pii-masking-200k (full); outputs: ai4privacy/pii-masking-200k (English subset)";"DataPreparation is first activity"
"What hardware was used in the workflow?";"Unknown";"compute_hardware: ~"
"Who is responsible for this workflow (person or username or entity)?";"Unknown";"user: ~"
"What was the specific execution order of the tasks?";"DataPreparation → ModelFinetuning → ModelEvaluation";"activity DAG"
"List all parameters for all activites in the workflow";"DataPreparation: inputs=ai4privacy/pii-masking-200k (full); ModelFinetuning: inputs=Llama-3.2-3B-Instruct (4-bit)/English subset; params=LoRA r16 alpha32 drop0.05 lr2e-4 bs1 gradacc16; ModelEvaluation: inputs=LoRA adapter/300 test samples";"activities section"
"What was the peak RAM consumption during the workflow?";"Unknown";"memory: ~"
"Has the model been trained in a distributed setting?";"No";"no distributed training mentioned"
"What was the total power consumption in Watts of the GPU(s) during the workflow?";"Unknown";"gpu power not reported"
"What significant input artifacts are involved in the generation of the finetuned model?";"meta-llama/Llama-3.2-3B-Instruct; ai4privacy/pii-masking-200k (English subset)";"Notable Inputs to ModelFinetuning"
"What is the total energy use for completing the workflow?";"Unknown";"energy not reported"
"List all input files with size larger than 100Mb";"None listed above 100 MB (base model ~6.43 GB is referenced but not a data input file)";"dataset itself: 13.6M tokens in JSONL; individual file sizes not given explicitly above 100MB"
"List all different file types used as input";"JSONL";"ai4privacy dataset format: JSONL"
"Identify the largest output";"Llama-3.2-3B-PII-Redactor LoRA adapter";"only output artifact"
"What is the science domain of the dataset?";"Privacy / NLP / legal/business";"dataset covers business, legal, psychology PII masking"
"Does the dataset have a predetermined train-test split?";"Yes; train split + 300 held-out test samples";"300 random samples held out for evaluation"
"How many samples are present in the whole dataset?";"~209,000 (English subset used for training)";"ai4privacy/pii-masking-200k: ~209k examples"
"What is the data type of the ground truth (if present)?";"Text with bracketed PII placeholders (target_text)";"target_text: masked text with [LABEL] placeholders"
"What is the specific task for which the dataset was created?";"PII detection and redaction in text";"dataset purpose in datacard"
"What is the size in byte of one sample?";"Unknown";"per-example byte size not reported"
"What is the total size of the whole dataset?";"13.6M text tokens (~209k examples)";"size: 13.6M text tokens stated in datacard"
"What are the designed uses for this model?";"Redacting PII in English text; replacing PII spans with structured placeholders";"intended use in modelcard_finetuned"
"How many epochs have been used in the finetuning?";"Unknown";"epochs not specified"
"How many model parameters (weights) does the model have?";"3.21B";"same architecture as base Llama-3.2-3B-Instruct"
"What is the science domain of the model?";"Privacy / NLP";"PII redaction domain"
"What is the task solved by this model (regression or classification or forecast etc.)?";"Sequence-to-sequence text generation (PII span replacement)";"text-generation pipeline"
"What is the intended use of this model?";"Replace PII spans with placeholders while preserving non-PII text";"intended use section"
"What is the size of the final model in Mb?";"Unknown";"LoRA adapter size not specified"
"What technique was used to fine-tune the model? (e.g. LoRa; GAN...)";"QLoRA (4-bit NF4, LoRA rank 16)";"QLoRA described in workflow and modelcard"
"What is the claimed performance of this model?";"Exact match: ~0.67; placeholder micro-F1: ~0.90 (P~0.91 R~0.90); formatting errors: ~0.00";"evaluation_report in ModelEvaluation"
"Are the performance shown in the pretrained version improved in the finetuning?";"Not applicable; pretrained model is general-purpose LLM with no PII redaction baseline";"pretrained Llama-3.2-3B has no PII redaction benchmarks"
